iter	Passed	Remaining
901	7182	8742
902	7191	8736
903	7199	8728
904	7207	8720
905	7216	8714
906	7225	8706
907	7232	8698
908	7240	8690
909	7246	8680
910	7254	8672
911	7261	8663
912	7269	8654
913	7276	8646
914	7283	8637
915	7290	8627
916	7297	8618
917	7304	8609
918	7311	8600
919	7318	8590
920	7325	8581
921	7332	8573
922	7339	8563
923	7346	8554
924	7353	8545
925	7361	8538
926	7369	8530
927	7377	8522
928	7385	8514
929	7393	8506
930	7401	8498
931	7412	8493
932	7419	8485
933	7427	8477
934	7434	8468
935	7442	8459
936	7449	8451
937	7457	8443
938	7464	8434
939	7471	8425
940	7479	8417
941	7486	8407
942	7493	8399
943	7501	8391
944	7508	8381
945	7515	8373
946	7523	8365
947	7531	8358
948	7540	8351
949	7548	8343
950	7557	8335
951	7566	8329
952	7575	8322
953	7583	8315
954	7591	8307
955	7600	8300
956	7610	8294
957	7618	8286
958	7625	8277
959	7633	8269
960	7641	8261
961	7648	8252
962	7655	8244
963	7663	8235
964	7670	8227
965	7678	8218
966	7684	8209
967	7691	8200
968	7699	8191
969	7705	8182
970	7713	8174
971	7721	8165
972	7728	8157
973	7735	8148
974	7744	8141
975	7752	8133
976	7760	8125
977	7771	8121
978	7781	8115
979	7788	8106
980	7798	8100
981	7806	8092
982	7815	8085
983	7822	8077
984	7830	8069
985	7839	8061
986	7848	8055
987	7856	8047
988	7863	8038
989	7870	8029
990	7877	8020
991	7884	8011
992	7891	8002
993	7898	7994
994	7905	7984
995	7912	7975
996	7919	7967
997	7926	7958
998	7933	7949
999	7939	7939
1000	7947	7931
1001	7954	7922
1002	7962	7915
1003	7970	7907
1004	7978	7898
1005	7985	7890
1006	7993	7882
1007	8000	7873
1008	8008	7865
1009	8019	7860
1010	8027	7852
1011	8037	7847
1012	8045	7838
1013	8052	7830
1014	8059	7821
1015	8067	7813
1016	8075	7805
1017	8083	7797
1018	8089	7788
1019	8098	7781
1020	8105	7772
1021	8112	7763
1022	8119	7754
1023	8126	7745
1024	8134	7737
1025	8141	7728
1026	8149	7720
1027	8157	7712
1028	8164	7704
1029	8171	7695
1030	8179	7687
1031	8187	7679
1032	8195	7671
1033	8204	7665
1034	8212	7656
1035	8221	7650
1036	8230	7643
1037	8239	7635
1038	8246	7627
1039	8254	7619
1040	8261	7610
1041	8269	7603
1042	8276	7594
1043	8285	7586
1044	8293	7579
1045	8302	7571
1046	8310	7564
1047	8318	7556
1048	8326	7548
1049	8334	7540
1050	8341	7531
1051	8348	7523
1052	8355	7514
1053	8363	7506
1054	8369	7497
1055	8378	7490
1056	8387	7482
1057	8394	7473
1058	8402	7466
1059	8410	7458
1060	8418	7450
1061	8428	7444
1062	8437	7437
1063	8444	7428
1064	8453	7421
1065	8460	7412
1066	8468	7404
1067	8475	7396
1068	8483	7388
1069	8491	7380
1070	8498	7371
1071	8506	7363
1072	8516	7357
1073	8524	7349
1074	8533	7342
1075	8541	7334
1076	8550	7328
1077	8560	7321
1078	8569	7314
1079	8577	7306
1080	8585	7299
1081	8593	7291
1082	8602	7283
1083	8609	7275
1084	8617	7267
1085	8625	7259
1086	8633	7251
1087	8641	7243
1088	8649	7235
1089	8658	7228
1090	8665	7220
1091	8673	7211
1092	8680	7203
1093	8688	7195
1094	8695	7186
1095	8702	7178
1096	8710	7169
1097	8718	7161
1098	8725	7153
1099	8732	7144
1100	8739	7136
1101	8747	7127
1102	8754	7119
1103	8762	7111
1104	8771	7104
1105	8780	7097
1106	8787	7088
1107	8796	7081
1108	8804	7073
1109	8812	7066
1110	8821	7059
1111	8829	7051
1112	8838	7043
1113	8847	7037
1114	8856	7029
1115	8864	7021
1116	8872	7013
1117	8880	7005
1118	8887	6997
1119	8894	6988
1120	8901	6979
1121	8908	6970
1122	8915	6962
1123	8922	6953
1124	8929	6944
1125	8935	6935
1126	8942	6927
1127	8949	6918
1128	8957	6910
1129	8966	6903
1130	8973	6895
1131	8981	6887
1132	8989	6879
1133	9000	6873
1134	9010	6867
1135	9017	6858
1136	9026	6850
1137	9033	6842
1138	9041	6834
1139	9048	6826
1140	9055	6817
1141	9062	6809
1142	9069	6800
1143	9076	6791
1144	9084	6783
1145	9091	6774
1146	9098	6766
1147	9105	6757
1148	9112	6749
1149	9119	6740
1150	9126	6731
1151	9133	6722
1152	9139	6714
1153	9146	6705
1154	9153	6697
1155	9160	6688
1156	9168	6680
1157	9176	6672
1158	9183	6664
1159	9191	6656
1160	9198	6647
1161	9207	6639
1162	9215	6632
1163	9225	6625
1164	9235	6619
1165	9246	6613
1166	9257	6607
1167	9266	6600
1168	9275	6593
1169	9284	6586
1170	9292	6578
1171	9300	6570
1172	9310	6563
1173	9317	6555
1174	9325	6547
1175	9332	6539
1176	9341	6531
1177	9348	6523
1178	9356	6515
1179	9364	6507
1180	9371	6499
1181	9380	6491
1182	9388	6483
1183	9397	6476
1184	9407	6469
1185	9417	6463
1186	9428	6457
1187	9435	6449
1188	9444	6442
1189	9453	6434
1190	9461	6426
1191	9469	6419
1192	9477	6410
1193	9486	6403
1194	9493	6395
1195	9501	6387
1196	9509	6379
1197	9517	6371
1198	9526	6364
1199	9534	6356
1200	9542	6348
1201	9550	6340
1202	9558	6332
1203	9569	6326
1204	9577	6318
1205	9584	6310
1206	9591	6301
1207	9599	6293
1208	9606	6285
1209	9614	6277
1210	9622	6269
1211	9631	6262
1212	9639	6254
1213	9646	6245
1214	9655	6238
1215	9662	6229
1216	9670	6221
1217	9677	6213
1218	9684	6204
1219	9692	6196
1220	9699	6187
1221	9705	6179
1222	9712	6170
1223	9721	6163
1224	9728	6154
1225	9734	6145
1226	9742	6137
1227	9749	6128
1228	9755	6120
1229	9762	6111
1230	9770	6103
1231	9777	6095
1232	9785	6086
1233	9792	6078
1234	9800	6070
1235	9808	6063
1236	9817	6055
1237	9825	6047
1238	9833	6039
1239	9841	6032
1240	9849	6024
1241	9857	6016
1242	9866	6008
1243	9875	6001
1244	9881	5992
1245	9889	5984
1246	9896	5975
1247	9903	5967
1248	9910	5958
1249	9917	5950
1250	9924	5942
1251	9932	5933
1252	9939	5925
1253	9946	5917
1254	9953	5908
1255	9959	5899
1256	9967	5891
1257	9975	5883
1258	9983	5876
1259	9993	5869
1260	10001	5861
1261	10009	5853
1262	10016	5845
1263	10023	5836
1264	10032	5829
1265	10040	5821
1266	10048	5813
1267	10056	5805
1268	10064	5797
1269	10073	5790
1270	10081	5782
1271	10090	5774
1272	10096	5766
1273	10104	5758
1274	10113	5750
1275	10120	5742
1276	10127	5733
1277	10134	5725
1278	10141	5717
1279	10148	5708
1280	10156	5700
1281	10164	5692
1282	10172	5684
1283	10181	5677
1284	10188	5669
1285	10197	5661
1286	10206	5654
1287	10214	5646
1288	10223	5638
1289	10233	5632
1290	10242	5624
1291	10251	5617
1292	10260	5610
1293	10268	5602
1294	10277	5594
1295	10285	5587
1296	10294	5579
1297	10301	5571
1298	10309	5563
1299	10316	5555
1300	10324	5546
1301	10331	5538
1302	10338	5530
1303	10345	5521
1304	10353	5513
1305	10360	5505
1306	10368	5497
1307	10375	5489
1308	10383	5481
1309	10391	5473
1310	10399	5465
1311	10408	5457
1312	10417	5450
1313	10425	5443
1314	10434	5435
1315	10444	5428
1316	10453	5420
1317	10462	5413
1318	10471	5406
1319	10478	5398
1320	10485	5389
1321	10494	5382
1322	10503	5374
1323	10512	5367
1324	10520	5359
1325	10528	5351
1326	10537	5343
1327	10544	5335
1328	10552	5327
1329	10559	5319
1330	10567	5311
1331	10575	5303
1332	10582	5295
1333	10590	5287
1334	10599	5280
1335	10608	5272
1336	10616	5264
1337	10624	5256
1338	10632	5248
1339	10640	5240
1340	10648	5232
1341	10656	5224
1342	10663	5216
1343	10672	5209
1344	10680	5201
1345	10687	5192
1346	10694	5184
1347	10701	5176
1348	10708	5167
1349	10715	5159
1350	10724	5152
1351	10735	5145
1352	10745	5138
1353	10753	5130
1354	10760	5122
1355	10769	5114
1356	10777	5106
1357	10785	5099
1358	10792	5090
1359	10801	5083
1360	10809	5075
1361	10817	5067
1362	10827	5060
1363	10837	5053
1364	10844	5044
1365	10853	5037
1366	10863	5030
1367	10872	5023
1368	10881	5015
1369	10889	5007
1370	10896	4998
1371	10903	4990
1372	10910	4982
1373	10918	4974
1374	10927	4966
1375	10937	4959
1376	10946	4952
1377	10953	4944
1378	10960	4935
1379	10967	4927
1380	10975	4919
1381	10986	4912
1382	10993	4904
1383	11001	4896
1384	11009	4888
1385	11018	4881
1386	11027	4873
1387	11036	4866
1388	11044	4858
1389	11052	4850
1390	11059	4842
1391	11067	4834
1392	11076	4826
1393	11084	4818
1394	11092	4810
1395	11099	4802
1396	11108	4794
1397	11116	4786
1398	11123	4778
1399	11132	4770
1400	11140	4763
1401	11148	4755
1402	11156	4747
1403	11163	4738
1404	11171	4730
1405	11178	4722
1406	11186	4714
1407	11194	4706
1408	11203	4699
1409	11211	4691
1410	11218	4682
1411	11227	4675
1412	11235	4667
1413	11243	4659
1414	11251	4651
1415	11259	4643
1416	11266	4635
1417	11274	4627
1418	11282	4619
1419	11289	4611
1420	11297	4603
1421	11307	4596
1422	11315	4588
1423	11322	4579
1424	11331	4572
1425	11338	4564
1426	11345	4555
1427	11352	4547
1428	11359	4538
1429	11366	4530
1430	11373	4522
1431	11382	4514
1432	11390	4506
1433	11397	4498
1434	11406	4491
1435	11413	4482
1436	11422	4475
1437	11430	4467
1438	11439	4459
1439	11447	4451
1440	11454	4443
1441	11462	4435
1442	11469	4427
1443	11479	4420
1444	11488	4412
1445	11497	4404
1446	11504	4396
1447	11513	4389
1448	11521	4381
1449	11529	4373
1450	11537	4365
1451	11544	4356
1452	11551	4348
1453	11558	4340
1454	11566	4332
1455	11574	4324
1456	11583	4316
1457	11591	4309
1458	11599	4301
1459	11607	4293
1460	11615	4285
1461	11623	4277
1462	11630	4269
1463	11637	4260
1464	11646	4253
1465	11653	4244
1466	11661	4236
1467	11669	4228
1468	11676	4220
1469	11684	4212
1470	11691	4204
1471	11698	4196
1472	11705	4187
1473	11712	4179
1474	11718	4171
1475	11725	4162
1476	11732	4154
1477	11739	4146
1478	11748	4138
1479	11757	4130
1480	11765	4123
1481	11773	4115
1482	11782	4107
1483	11791	4099
1484	11798	4091
1485	11808	4084
1486	11816	4076
1487	11823	4068
1488	11831	4060
1489	11839	4052
1490	11847	4044
1491	11854	4036
1492	11862	4028
1493	11869	4020
1494	11876	4011
1495	11884	4003
1496	11890	3995
1497	11898	3987
1498	11905	3979
1499	11912	3970
1500	11918	3962
1501	11925	3954
1502	11932	3945
1503	11939	3937
1504	11946	3929
1505	11952	3920
1506	11960	3912
1507	11969	3905
1508	11976	3896
1509	11982	3888
1510	11989	3880
1511	11996	3871
1512	12003	3863
1513	12011	3855
1514	12020	3848
1515	12029	3840
1516	12038	3832
1517	12045	3824
1518	12054	3817
1519	12061	3808
1520	12069	3800
1521	12076	3792
1522	12085	3785
1523	12093	3777
1524	12102	3769
1525	12110	3761
1526	12117	3753
1527	12125	3745
1528	12132	3737
1529	12141	3729
1530	12148	3721
1531	12155	3713
1532	12162	3704
1533	12169	3696
1534	12176	3688
1535	12184	3680
1536	12192	3672
1537	12200	3664
1538	12210	3657
1539	12222	3650
1540	12231	3643
1541	12241	3635
1542	12249	3627
1543	12257	3620
1544	12266	3612
1545	12273	3604
1546	12280	3596
1547	12288	3588
1548	12296	3580
1549	12304	3572
1550	12311	3564
1551	12319	3556
1552	12327	3548
1553	12335	3540
1554	12344	3532
1555	12351	3524
1556	12360	3516
1557	12368	3508
1558	12375	3500
1559	12383	3492
1560	12390	3484
1561	12398	3476
1562	12406	3468
1563	12415	3461
1564	12424	3453
1565	12433	3445
1566	12440	3437
1567	12448	3429
1568	12456	3421
1569	12464	3413
1570	12473	3406
1571	12481	3398
1572	12491	3390
1573	12500	3383
1574	12508	3375
1575	12517	3367
1576	12524	3359
1577	12531	3351
1578	12539	3343
1579	12546	3335
1580	12554	3327
1581	12561	3318
1582	12568	3310
1583	12575	3302
1584	12582	3294
1585	12589	3286
1586	12597	3278
1587	12607	3270
1588	12614	3262
1589	12622	3254
1590	12629	3246
1591	12637	3238
1592	12645	3230
1593	12653	3222
1594	12661	3214
1595	12668	3206
1596	12675	3198
1597	12683	3190
1598	12691	3182
1599	12700	3175
1600	12707	3166
1601	12714	3158
1602	12720	3150
1603	12727	3142
1604	12734	3133
1605	12742	3126
1606	12749	3117
1607	12757	3109
1608	12764	3101
1609	12771	3093
1610	12779	3085
1611	12786	3077
1612	12793	3069
1613	12800	3061
1614	12808	3053
1615	12816	3045
1616	12823	3037
1617	12831	3029
1618	12838	3021
1619	12846	3013
1620	12855	3005
1621	12863	2997
1622	12871	2989
1623	12879	2981
1624	12887	2974
1625	12895	2966
1626	12905	2958
1627	12913	2950
1628	12920	2942
1629	12927	2934
1630	12935	2926
1631	12943	2918
1632	12949	2910
1633	12959	2902
1634	12966	2894
1635	12973	2886
1636	12980	2878
1637	12986	2870
1638	12993	2861
1639	13002	2854
1640	13010	2846
1641	13020	2838
1642	13030	2831
1643	13038	2823
1644	13045	2815
1645	13054	2807
1646	13061	2799
1647	13069	2791
1648	13078	2783
1649	13086	2775
1650	13094	2767
1651	13102	2760
1652	13110	2752
1653	13118	2744
1654	13125	2736
1655	13133	2728
1656	13141	2720
1657	13148	2712
1658	13156	2704
1659	13164	2696
1660	13171	2688
1661	13179	2680
1662	13186	2672
1663	13193	2664
1664	13200	2656
1665	13208	2648
1666	13216	2640
1667	13224	2632
1668	13231	2624
1669	13240	2616
1670	13249	2608
1671	13258	2600
1672	13266	2592
